Rarity,quest points,FLOWER NAMES
Normal,,Blue Forget Me Not
Normal,9,Blue Hydrangea 
Normal,,Blue Star Flower
Normal,,Blue White Lobelia
Normal,,Champagne Lisianthus 
Normal,,Cloud Gauze Blushing Bride
Normal,,Crimson Bramble Rose
Normal,,Crimson Cherry Bleeding Heart
Normal,,Crimson Flame Milkweed
Normal,9,Dandelion 
Normal,,Frost Noble Dendrobium
Normal,,Golden Cup Milkweed
Normal,,Golden Yellow Pot Marigold
Normal,,Green Lisianthus 
Normal,,Misty Pink Blushing Bride
Normal,9,Orange Freesia
Normal,,Orange Flame Milkweed
Normal,,Orange Spoon Chrysanthemum
Normal,,Orange Wood Sorrel
Normal,9,Peach Windbell Flower
Normal,,Pink Bougainvillea 
Normal,9,Pink Carnation
Normal,9,Pink Gerbera Daisy
Normal,,Pink Hydrangea
Normal,9,Pink Lily
Normal,,Pink Lisianthus 
Normal,9,Pink Moth Orchid
Normal,,Pink Mulla Mulla
Normal,,Pink Peach Blossom 
Normal,9,Pink Rose 
Normal,,Pink Spoon Chrysanthemum
Normal,9,Pink Tulip
Normal,9,Purple Balloon Flower
Normal,,Purple Bougainvillea 
Normal,9,Purple Hyacinth 
Normal,9,Purple Hydrangea 
Normal,,Purple Lilac
Normal,,Purple Mulla Mulla
Normal,,Purple Wood Sorrel
Normal,,Red Calla Lily 
Normal,,Red Pineapple Flower
Normal,,Red Rose
Normal,,Rosy Crimson Blushing Bride
Normal,,Sacred Heart Lily 
Normal,,Soft Pink Hyacinth 
Normal,,Soft Pink Silktree Flower
Normal,,Snowy Bleeding Heart
Normal,,Sunflower
Normal,,Violet 
Normal,,Violet Gauze Bleeding Heart
Normal,9,White Camellia
Normal,,White Daffodil 
Normal,9,White Daisy 
Normal,,White Gardenia
Normal,,White Jasmine
Normal,9,White Lily 
Normal,9,White Lily of the Valley
Normal,,White Murraya
Normal,,Yellow Bougainvillea 
Normal,,Yellow Calla Lily
Normal,,Yellow Hyacinth 
Normal,,Yellow Lilac
Normal,9,Yellow Lily 
Normal,,Yellow Mulla Mulla 
Normal,9,Yellow Rose
Normal,,Yellow Spoon Chrysanthemum
Normal,9,Yellow Tulip
Normal,,Yellow Wood Sorrel
Normal,9,Zantedesschia aethiopica
Rare,,Azure Blue Phlox
Rare,,Azure Snowdrop
Rare,14,Bird of Paradise 
Rare,,Blue Baby's Breath
Rare,,Blue Fairy Primrose
Rare,14,Blue Halcyon Tree Peony
Rare,,Blue Hellebore
Rare,14,Blue Larkspur
Rare,14,Blushberry
Rare,14,Coconut Palm Rings
Rare,14,Coral Pink Rhododendron 
Rare,14,Crocus
Rare,14,Dark Red African Violet
Rare,14,Golden Hornet Crabapple
Rare,,Golden Ixora
Rare,14,Golden Oreorchis 
Rare,14,Golden Spider Lily
Rare,14,Golden Yellow Hollyhock 
Rare,14,Green Cycad
Rare,,Indigo Plumbago
Rare,,Light Orange Ping Pong Chrysanthemum
Rare,14,Light Pink African Violet
Rare,,Light Pink Plumbago
Rare,14,Light Purple African Violet
Rare,14,Magenta Oleander 
Rare,14,Monstera
Rare,14,Orange Begonia
Rare,,Orange Cyclamen 
Rare,14,Orange Fairy Lantern 
Rare,,Orange Ixora 
Rare,14,Peach Hornet Crabapple
Rare,14,Peach Jacque
Rare,14,Peach Larkspur 
Rare,,Perfume Lily
Rare,14,Pink Astilbe
Rare,,Pink Baby's Breath
Rare,14,Pink Bell Drooping Fragrance
Rare,,Pink Cyclamen
Rare,14,Pink Fragrant Freesia
Rare,,Pink Hellebore 
Rare,,Pink Ixora 
Rare,14,Pink Oleander 
Rare,14,Pink Orchid 
Rare,,Pink Oreorchis 
Rare,,Pink Phlox
Rare,14,Priceless Gold
Rare,14,Pink Spray Carnation
Rare,,Purple Bunnytail
Rare,,Purple Clematis 
Rare,,Purple Cyclamen 
Rare,14,Purple Fairy Lantern 
Rare,,Purple Fairy Primrose 
Rare,14,Purple Fragrant Freesia 
Rare,14,Purple Larkspur 
Rare,,Purple Oreorchis 
Rare,,Purple Seaflower
Rare,14,Ranunculus
Rare,,Red Flamingo Flower
Rare,14,Red Plum Fortune
Rare,,Red Seaflower 
Rare,14,Red Spider Lily
Rare,14,Retro Cocoa
Rare,14,Redvein Enkianthus
Rare,,Sky Blue Petunia
Rare,,Snow Hellebore 
Rare,,Snow White Phlox
Rare,,Soft Pink Ping Pong Chrysanthemum
Rare,,White Baby's Breath
Rare,14,White Cosmos
Rare,14,White Flamingo Flower
Rare,,White Halcyon Tree Peony 
Rare,14,White Ping Pong Chrysanthemum
Rare,,White Plumbago
Rare,14,White Thornapple
Rare,14,Winter Jasmine 
Rare,14,Yellow Dancing Lady Orchid
Rare,,Yellow Fairy Primrose 
Rare,14,Yellow Flaming Katy
Rare,14,Yellow Fragrant Freesia
Rare,,Yellow Glory-of-the-Snow
Rare,14,Yellow Himalayan Poppy
Rare,,Yellow Petunia
Rare,14,Yellow Rhododendron 
Rare,,Yellow Seaflower 
Rare,,Yellow Snowdrop 
Super Rare,,Abyssal Dreamheart
Super Rare,23,Azure Coral Reef
Super Rare,,Azure Nemesia 
Super Rare,23,Begonia Whisper
Super Rare,,Blue Celebration Rose
Super Rare,23,Blue Cornflower
Super Rare,21,Blue Evening Primrose
Super Rare,21,Blue Himalayan Poppy
Super Rare,23,Blue Oleander 
Super Rare,23,Cherry Pink Plumeria
Super Rare,23,Chrismas Cedar
Super Rare,23,Coral Boat Orchid 
Super Rare,,Crimson Chinese Hibiscus 
Super Rare,21,Crimson Dahlia
Super Rare,21,Crimson Hollyhock 
Super Rare,,Crystal Snow Lotus
Super Rare,,Dancing Bell
Super Rare,23,Golden Bell Forsythia 
Super Rare,21,Golden Wintersweet 
Super Rare,,Green Cymbidium
Super Rare,21,Green Silk Willow
Super Rare,23,Jade Snowflake 
Super Rare,,Lavender Marguerite
Super Rare,23,Light Blue Astilbe 
Super Rare,23,Light Blue Wisteria 
Super Rare,23,Light Orange Verbena
Super Rare,23,Light Pink Verbena
Super Rare,23,Light Purple Astilbe
Super Rare,,Light Yellow Plumeria
Super Rare,23,Little Moon Slumber
Super Rare,23,Lunar Wisteria
Super Rare,21,Midnight Dahlia 
Super Rare,,Orange Amaryllis 
Super Rare,23,Orange Bumble Rose
Super Rare,21,Orange Coral Reef
Super Rare,23,Orange Dancing Lady Orchid
Super Rare,,Orange Flame Cymbidium
Super Rare,21,Orange Flaming Katy
Super Rare,21,Orange Osmanthus
Super Rare,23,Orange Sea Anemone
Super Rare,,Orange Star Orchid
Super Rare,23,Peach Calandiva
Super Rare,23,Peach Flamingo Flower
Super Rare,,Peach New Dawn Rose
Super Rare,23,Pearl Cape Primrose
Super Rare,23,Pink Amaryllis 
Super Rare,,Pink Anemone 
Super Rare,23,Pink Baby Primrose
Super Rare,23,Pink Bumble Rose
Super Rare,,Pink Celebration Rose
Super Rare,21,Pink Coral Reef
Super Rare,21,Pink Cornflower 
Super Rare,23,Pink Cosmos 
Super Rare,21,Pink Crystal Butterfly Rose
Super Rare,21,Pink Evening Primrose
Super Rare,21,Pink Hibiscus 
Super Rare,21,Pink Iron Chopstick
Super Rare,21,Pink Lewisia
Super Rare,21,Pink Lilyturf
Super Rare,23,Pink Marguerite 
Super Rare,,Pink Nemesia 
Super Rare,23,Pink Peony Dahlia 
Super Rare,23,Pink Rhododendron 
Super Rare,,Pink Rosa Rubus
Super Rare,23,Pink Scabiosa
Super Rare,23,Pink Snowflake
Super Rare,,Pink Starry Pollenveil
Super Rare,21,Pink Tree Peony
Super Rare,,Pink Wisteria 
Super Rare,23,Purple Anemone 
Super Rare,,Purple Baby Primrose
Super Rare,23,Purple Cornflower 
Super Rare,21,Purple Cosmos 
Super Rare,21,Purple Giant Allium
Super Rare,,Purple Gladiolus 
Super Rare,23,Purple Iceland Poppy 
Super Rare,,Purple Lilyturf 
Super Rare,23,Purple Magnolia
Super Rare,,Purple Scabiosa
Super Rare,,Purple Obsidian Cymbidium
Super Rare,,Purple Snowflake
Super Rare,21,Purple Water Hyacinth 
Super Rare,23,Purple-Pink Bearded Iris
Super Rare,23,Red Amaryllis 
Super Rare,23,Red Dancing Lady Orchid 
Super Rare,21,Red Hollyhock 
Super Rare,21,Red Iron Chopstick Flower
Super Rare,21,Red Winterberry 
Super Rare,21,Red Peony
Super Rare,23,Sapphirebone Coral 
Super Rare,23,Scarlet Iceland Poppy 
Super Rare,21,Scarlet Sea Anemone 
Super Rare,23,Silver Cycad 
Super Rare,21,Silver Osmanthus 
Super Rare,23,Smokepink Hibiscus
Super Rare,23,Snapdragon 
Super Rare,,Snow White Plumeria
Super Rare,,Snowfall Nemesia 
Super Rare,,Snowfall Baby Primrose
Super Rare,21,Soft Pink Petunia 
Super Rare,21,Soft Pink Weeping Cherry 
Super Rare,23,Stellar Wish 
Super Rare,23,Summer Glow
Super Rare,23,Sunflare Bloom
Super Rare,23,Sunlit Petal
Super Rare,23,Violet Fragrance 
Super Rare,21,Violet Himalayan Poppy 
Super Rare,23,White Blue-Eyed Anemone 
Super Rare,23,White Bunnycotton
Super Rare,23,White Chinese Sweetshrub 
Super Rare,23,White Gladiolus
Super Rare,21,White Lilyturf 
Super Rare,23,White Morning Dew Lily 
Super Rare,21,White Sea Anemone 
Super Rare,21,White Star of Bethlehem 
Super Rare,21,White Tree Peony 
Super Rare,23,White Weeping Cherry
Super Rare,23,White-Purple Clematis 
Super Rare,21,Yellow Bearded Iris
Super Rare,,Yellow Bumble Rose
Super Rare,23,Yellow Celebration Rose
Super Rare,,Yellow Chinese Hibiscus
Super Rare,21,Yellow Evening Primrose
Super Rare,,Yellow Gladiolus 
Super Rare,,Yellow Iron Chopstick Flower
Super Rare,23,Yellow Magnolia 
Super Rare,23,Yellow Marguerite 
Super Rare,21,Yellow Morning Dew Lily 
Super Rare,21,Yellow New Dawn Rose
Super Rare,21,Yellow Osmanthus 
Super Rare,23,Yellow-Green Boat Orchid
Super Rare,23,Yellow-Orange Iceland Poppy 
Super Rare,23,Yellow-Pink Bearded Iris
Super Rare,21,Yesterday-Today-Tomorrow
SS Rare,25,Apricot Lotus
SS Rare,25,Ardent Serenade
SS Rare,25,Beach Duck Cool Summer
SS Rare,25,Blossom Creamland
SS Rare,25,Blue Crystal Butterfly Rose 
SS Rare,25,Blue Dream Shell
SS Rare,25,Blue Jeweled Peony 
SS Rare,23,Champagne Gilded Rose
SS Rare,,Christmas Spirit Pine
SS Rare,25,Dream-Painted Eggs
SS Rare,,Easter Teatime
SS Rare,25,Egg Surprise
SS Rare,,Emerald Golden Veil
SS Rare,25,Flameheart Dream Shell
SS Rare,25,Floral Fawn
SS Rare,25,Floral Sea Dream
SS Rare,25,Flower Cake Basket 
SS Rare,25,Fluffy Snowbaby
SS Rare,25,Golden Lion's Blessing
SS Rare,25,Golden Serenade 
SS Rare,,Gilded Sweet Dream
SS Rare,25,Hazeglow Fan
SS Rare,25,Heartbeat Berry
SS Rare,25,Joyful Meow Melody
SS Rare,25,Joyful Rainbow Duck
SS Rare,25,Lavender Cherry Blossom
SS Rare,,Luminous Crystal Conch
SS Rare,,Maple Tree
SS Rare,25,Maroon Wintersweet
SS Rare,25,Merrycap
SS Rare,,Moonbathing Crane
SS Rare,25,Orange Hibiscus Jewelry Box 
SS Rare,25,Peach Jeweled Peony 
SS Rare,25,Peach Unicorn
SS Rare,25,Peach Wintersweet 
SS Rare,25,Pearl Magnolia 
SS Rare,25,Persimmon Reunion
SS Rare,,Pink Bloom Abode
SS Rare,25,Pink Cherry Blossom
SS Rare,25,Pink Dream Shell
SS Rare,25,Pink Hibiscus Jewelry Box
SS Rare,25,Pink Lion's Fortune
SS Rare,25,Pink Lotus 
SS Rare,25,Pink Unicorn
SS Rare,25,Pink Water Lily 
SS Rare,25,Pop-Cub Suprise
SS Rare,25,Porcelain Cherry Blossom 
SS Rare,25,Purple Cloud Slumber
SS Rare,25,Purple Glaze Peony 
SS Rare,25,Purple Hibiscus Jewelry Box
SS Rare,25,Rainbow Dome Balloon
SS Rare,25,Red Lion's Auspice
SS Rare,25,Rosy Dream Basket
SS Rare,25,Scintilla Pact
SS Rare,25,Silkbloom Fan
SS Rare,25,Stardust Fan
SS Rare,25,Starry Purple Abode
SS Rare,,Starry Shallows
SS Rare,25,Starshadow Crystal
SS Rare,25,Sweet Snow Fun
SS Rare,25,Tea & Meow Talk
SS Rare,,Tidal Emerald Shadow
SS Rare,25,Violet Unicorn
SS Rare,25,White River Ark
